step,train_loss,val_loss,accuracy
50,0.35542723536491394,0.3834018409252167,0.7460317611694336
100,0.111134834587574,0.04563407599925995,1.0
150,6.522695912281051e-05,5.522042920347303e-05,1.0
200,1.1606639418459963e-05,1.154798246716382e-05,1.0
250,9.958570444723591e-06,9.941541975422297e-06,1.0
300,8.94248023541877e-06,8.921665539673995e-06,1.0
350,8.27076019049855e-06,8.261298717116006e-06,1.0
400,7.845021173125133e-06,7.835560609237291e-06,1.0
450,7.578225449833553e-06,7.578225449833553e-06,1.0
500,7.402254141197773e-06,7.398469278996345e-06,1.0
